Method,Variant,accuracy,f1_macro,n,f1_none,f1_alt,f1_base,f1_both
SLM (Gemma3 4B),recalculated,0.43617021276595747,0.20041379310344826,376,0.0,0.0,0.1896551724137931,0.612
SLM (Kimi),recalculated,0.43351063829787234,0.23924988279418657,376,0.0,0.16,0.18518518518518517,0.6118143459915611
SLM (GPT-4o mini),recalculated,0.40425531914893614,0.2472516904319798,376,0.0,0.2826086956521739,0.136986301369863,0.5694117647058824
XGBoost 4-class,raw,0.3803191489361702,0.23616813157221872,376,0.0,0.19834710743801653,0.18840579710144928,0.557919621749409
XGBoost per-attr ensemble (4-class),raw,0.40691489361702127,0.18683862433862433,376,0.027777777777777776,0.0,0.12698412698412698,0.5925925925925926
SLM (Gemma3 4B),raw,0.13297872340425532,0.06944444444444445,376,0.0,0.0,0.2777777777777778,0.0
SLM (Kimi),raw,0.15159574468085107,0.1271468473286979,376,0.0,0.27230046948356806,0.23628691983122363,0.0
SLM (GPT-4o mini),raw,0.0,0.0,376,0.0,0.0,0.0,0.0
Google API,recalculated,0.17819148936170212,0.08720632843632903,376,0.0,0.29767441860465116,0.029411764705882353,0.021739130434782608
Scrape + search,recalculated,0.22074468085106383,0.1506256205727275,376,0.0,0.07792207792207792,0.2724795640326976,0.25210084033613445
